Time (s),W,X,Y,Z
12.207681656,0.9603012,-0.007727601,-0.01801628,0.2721488
12.229895592,0.9604408,-0.007732243,-0.01807463,0.2716521
12.249637604,0.9604256,-0.00786839,-0.01815809,0.2716959
12.269383430,0.9605173,-0.007631832,-0.01811623,0.2713812
12.289129734,0.9605057,-0.007836434,-0.01821624,0.2714101
12.308879375,0.9603952,-0.008252461,-0.01870801,0.2717547
12.328621387,0.9604944,-0.007863209,-0.01870743,0.2714159
12.348367691,0.9605902,-0.007760327,-0.01866163,0.2710825
12.368113518,0.9607875,-0.007178164,-0.01843668,0.2704136
12.387859344,0.9608307,-0.007315305,-0.01854706,0.2702493
12.407605171,0.960971,-0.007325642,-0.0184463,0.2697566
12.429820061,0.9611235,-0.007102341,-0.01845118,0.2692182
12.449562073,0.9612735,-0.007017676,-0.01823814,0.2686991
12.469309330,0.9615057,-0.006777642,-0.01783939,0.2678997
12.489053726,0.9616115,-0.006982048,-0.01756959,0.2675326
12.508800030,0.9616581,-0.007203574,-0.01749652,0.2673637
12.528545856,0.9617378,-0.007196704,-0.01719863,0.2670962
12.548291683,0.9618185,-0.007226325,-0.0168869,0.2668247
12.568037510,0.9619269,-0.007099151,-0.01661814,0.2664539
12.587783813,0.9619991,-0.007169833,-0.01633282,0.2662088
12.607529640,0.9619977,-0.007480265,-0.01647608,0.2661965
12.629743576,0.9620978,-0.007480864,-0.01657718,0.2658282
12.649485588,0.9621909,-0.007442282,-0.01694632,0.2654693
12.669232368,0.9622806,-0.007387347,-0.01717235,0.2651304
12.688978195,0.962302,-0.007612412,-0.01750987,0.2650249
12.708724022,0.9623451,-0.007695382,-0.01766357,0.2648554
12.728470325,0.9623904,-0.007746241,-0.01791176,0.2646727
12.748216152,0.9625884,-0.007522361,-0.0177328,0.2639702
12.767961979,0.9627122,-0.007472037,-0.01776055,0.2635178
12.787707806,0.9628206,-0.007616478,-0.01766859,0.2631235
12.809922218,0.9629898,-0.007600663,-0.01754233,0.2625124
12.829668045,0.9631413,-0.007544832,-0.01762267,0.2619522
12.849410057,0.9633748,-0.007193635,-0.01745682,0.2611133
12.869155884,0.9635405,-0.007152123,-0.01730429,0.2605126
12.888901710,0.9636672,-0.007271906,-0.01725421,0.2600437
12.908652306,0.9636964,-0.007598158,-0.01755706,0.2599054
12.928393841,0.9637406,-0.007778005,-0.01781094,0.2597187
12.948140621,0.9638858,-0.007739685,-0.01775268,0.2591848
12.967886448,0.9640933,-0.007457726,-0.01724445,0.2584544
12.987632275,0.9643028,-0.006669917,-0.01592704,0.2577783
13.009846210,0.9642107,-0.007490574,-0.01608118,0.2580904
13.029592037,0.9644414,-0.007058747,-0.01645264,0.2572158
13.049334049,0.9644979,-0.007048227,-0.01752195,0.2569333
13.069080353,0.9646717,-0.007052329,-0.01674213,0.2563322
13.088826179,0.9647844,-0.007178647,-0.01665195,0.25591
13.108572006,0.9648417,-0.00750899,-0.01703558,0.255659
13.128318310,0.9650072,-0.007306356,-0.01715697,0.2550312
13.148064136,0.9650631,-0.007569309,-0.01745105,0.2547922
13.167809963,0.9650491,-0.007699,-0.0179104,0.2548093
13.187556743,0.9650318,-0.007767145,-0.01804748,0.2548631
13.209770679,0.9651149,-0.007618727,-0.0171858,0.2546124
13.229516506,0.9654373,-0.006737447,-0.0170559,0.2534208
13.249258518,0.9657524,-0.006362242,-0.01761703,0.2521887
13.269004345,0.9660409,-0.00657939,-0.01788743,0.2510564
13.288750648,0.9664713,-0.006144972,-0.01771666,0.2494177
13.308496475,0.9666668,-0.006391745,-0.01749993,0.2486685
13.328242302,0.966518,-0.007361273,-0.01762866,0.2492104
13.347989559,0.9664242,-0.007443252,-0.01775186,0.2495625
13.367734432,0.9663163,-0.007534134,-0.01791429,0.2499658
13.387480259,0.9662438,-0.007461153,-0.01781191,0.250255
13.409695148,0.9661345,-0.007475707,-0.01780934,0.2506767
13.429440975,0.9661335,-0.007100122,-0.0179361,0.2506827
13.449182987,0.9662587,-0.006446405,-0.01820076,0.2501978
13.468930721,0.966526,-0.005591189,-0.01800912,0.2491979
13.488674641,0.9667115,-0.005265098,-0.01795165,0.2484884
13.508424759,0.9668773,-0.005132895,-0.0180545,0.2478377
13.528166771,0.9670233,-0.005257381,-0.01800472,0.2472688
13.547912598,0.9671699,-0.00545363,-0.01805666,0.2466867
13.567659378,0.9673636,-0.005305281,-0.0180073,0.2459332
13.589873314,0.9675026,-0.005420897,-0.01762195,0.2454109
13.609619141,0.9675934,-0.00547486,-0.01737968,0.2450684
13.629365444,0.9676645,-0.00549317,-0.01711059,0.2448065
13.649106979,0.9677001,-0.005683613,-0.01681587,0.2446816
13.668853283,0.9678849,-0.005328304,-0.01647058,0.2439812
13.688599110,0.9679957,-0.005131048,-0.01589732,0.2435832
13.728091240,0.9679516,-0.00500293,-0.0158501,0.2437648
13.747841835,0.9678918,-0.005075429,-0.01623047,0.2439757
13.767582893,0.9679967,-0.004869867,-0.01534172,0.2436205
13.789797783,0.967853,-0.005249396,-0.01652863,0.2441055
13.809543610,0.9678889,-0.005321858,-0.01642143,0.2439689
13.829289436,0.9679654,-0.004868443,-0.01744982,0.2436031
13.849031448,0.9679034,-0.005426536,-0.01812345,0.2437884
13.868778229,0.9679848,-0.005519542,-0.01837781,0.2434439
13.888523579,0.9681954,-0.005155412,-0.01842291,0.2426093
13.908269405,0.9683486,-0.005091725,-0.01827084,0.2420101
13.928015232,0.968471,-0.005049447,-0.0185216,0.241502
13.947761536,0.9684156,-0.005605638,-0.01925401,0.2416543
13.967507839,0.9686277,-0.005384466,-0.01935673,0.2407998
