Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.180122852,0.3048515,-0.3856423,-0.4335473,-0.0218479,-0.005206501,1.029438,20.00108,13.65143,-41.11473,1028.32
0.182591438,-0.003067017,0.555131,-0.4334111,-0.02909749,0.001268417,1.017565,20.00108,13.65143,-41.11473,1028.318
0.187527180,0.05867352,-0.4446052,-0.3718622,-0.04021052,-0.0073817,0.9991146,20.00108,13.65143,-41.11473,1028.318
0.189996242,0.3664778,-0.5620471,-0.3717453,-0.02535256,0.0007198155,1.010735,20.00108,13.65143,-41.11473,1028.318
0.192463875,-0.1261537,0.0260371,-0.4328667,-0.03132185,0.005769145,1.02867,20.00108,13.65143,-41.11473,1028.318
0.194937229,-0.1876786,0.2024012,-0.555207,-0.04969289,-0.004036253,0.9747997,20.00108,13.65143,-41.11473,1028.318
0.197400570,0.4280258,-0.38557,-0.5550326,-0.05781107,0.005736537,0.9879577,20.00108,13.65143,-41.11473,1028.318
0.199868679,-0.06462498,-0.6794026,-0.6160963,-0.04536277,0.004397593,1.014595,20.00108,13.65143,-41.11473,1028.318
0.202336788,-0.1261692,0.02629991,-0.6159027,-0.03224602,-0.005243991,1.005641,20.00108,13.65143,-41.11473,1028.318
0.204805374,0.2432577,0.3790362,-0.6157092,-0.04759689,-0.002317751,1.01901,21.13374,13.31009,-40.72496,1028.318
0.207273483,-0.126206,-0.09140892,-0.4318014,-0.0561033,-0.001398491,0.993237,21.13374,13.31009,-40.72496,1028.318
0.209741592,-0.06460182,-0.5617063,-0.3704277,-0.03613162,-0.005274827,1.006702,21.13374,13.31009,-40.72496,1028.318
0.212210178,0.1201121,-0.267576,-0.3090732,-0.02781034,-0.001755513,1.008883,21.13374,13.31009,-40.72496,1028.318
0.214677810,-0.003054723,0.3792064,-0.3089761,-0.04149425,-0.002893405,1.008753,21.13374,13.31009,-40.72496,1028.318
