Time (s),W,X,Y,Z
2.931172848,-0.3754032,-0.3601355,-0.8519613,0.01282926
2.950884819,-0.3747942,-0.3600639,-0.8522552,0.01312367
2.970596790,-0.3741884,-0.3600003,-0.8525434,0.01342326
2.990308285,-0.3736279,-0.3602229,-0.8526928,0.01358324
3.010020256,-0.3731297,-0.3604946,-0.8527942,0.01370451
3.029732227,-0.3726902,-0.3607444,-0.8528786,0.01383126
3.051908493,-0.3722715,-0.3610126,-0.8529459,0.01396387
3.071616649,-0.3719673,-0.361171,-0.8530091,0.01411221
3.091328621,-0.3717341,-0.3611178,-0.8531299,0.01430822
3.111040115,-0.3715841,-0.3609735,-0.8532534,0.014482
3.130752086,-0.3715267,-0.3607471,-0.8533717,0.01463262
3.150464058,-0.3714979,-0.3604057,-0.8535253,0.01480605
3.170176029,-0.3715479,-0.3600278,-0.8536615,0.01488979
3.189887523,-0.3716388,-0.3596006,-0.8538,0.01500589
3.209599495,-0.3717591,-0.3592156,-0.8539087,0.01506319
3.231775284,-0.3719109,-0.3588976,-0.8539757,0.01510395
3.251487255,-0.3720247,-0.3587728,-0.8539789,0.01508196
3.271194935,-0.3721007,-0.3587103,-0.8539721,0.01507955
3.290906906,-0.3721047,-0.3586909,-0.8539785,0.0150768
3.310619354,-0.3720788,-0.3587413,-0.8539687,0.01507443
3.330331325,-0.372006,-0.3588436,-0.8539572,0.01509146
3.350043297,-0.3718965,-0.3590184,-0.8539315,0.01507601
3.369754791,-0.3717694,-0.3591913,-0.8539146,0.01505838
3.391931057,-0.3716331,-0.3593881,-0.8538918,0.01501893
3.411642551,-0.3715592,-0.3595144,-0.8538709,0.01501275
3.431354523,-0.3715743,-0.3596064,-0.8538266,0.01495876
3.451066494,-0.3716491,-0.3595727,-0.8538084,0.01494839
3.470777511,-0.3718106,-0.3594977,-0.8537701,0.0149159
3.490486145,-0.3720426,-0.3594473,-0.8536914,0.01485854
3.510198116,-0.3723409,-0.3593823,-0.8535897,0.01479518
3.529909611,-0.3727234,-0.3592897,-0.8534634,0.01469756
3.549622536,-0.3731566,-0.3591709,-0.8533264,0.0145644
3.571798324,-0.3736637,-0.3590732,-0.8531482,0.01440745
