Time (s),W,X,Y,Z
2.695106506,0.9333772,-0.1768424,-0.0244739,0.3058798
2.714960098,0.9332672,-0.1768256,-0.0242405,0.3062432
2.734813690,0.9331763,-0.1767313,-0.02384332,0.3066055
2.754667282,0.9331152,-0.176587,-0.02333876,0.3069138
2.774520874,0.9330779,-0.1764149,-0.0227825,0.3071678
2.794373989,0.9330919,-0.1762319,-0.0222301,0.3072708
2.814227581,0.9331074,-0.1760509,-0.02168592,0.3073661
2.834081173,0.9331249,-0.1758348,-0.02112737,0.3074758
2.853934288,0.9331363,-0.1756145,-0.02060632,0.3076026
2.873788357,0.9331532,-0.1754191,-0.02013579,0.307694
2.893641472,0.9331893,-0.1752525,-0.01975621,0.3077037
2.913496017,0.933202,-0.1751333,-0.01945523,0.3077526
2.933348656,0.9331582,-0.1750414,-0.01920799,0.3079531
2.953201771,0.933093,-0.174941,-0.01898372,0.3082213
2.975537300,0.9330134,-0.1748759,-0.01880735,0.3085097
2.995390892,0.9329459,-0.1748587,-0.01871429,0.3087293
3.015244484,0.9328526,-0.174898,-0.01865952,0.3089921
3.035097599,0.9328024,-0.1749334,-0.01858211,0.3091283
3.054951191,0.9327713,-0.1749626,-0.01844291,0.3092141
3.074804783,0.9327943,-0.1749022,-0.01823718,0.3091914
3.094658375,0.9328475,-0.174835,-0.01794133,0.3090858
3.114511490,0.9329242,-0.1747169,-0.01754004,0.3089442
3.134365558,0.932985,-0.1745505,-0.01702364,0.3088836
3.154218674,0.9330704,-0.1743025,-0.01640891,0.3087989
3.174071789,0.9331738,-0.1740341,-0.01569089,0.3086748
3.193925857,0.9332932,-0.1737095,-0.01493637,0.3085343
3.213778972,0.9334261,-0.17339,-0.01423431,0.3083448
3.233633041,0.933567,-0.1731116,-0.01364305,0.3081018
3.253486156,0.9337022,-0.1728714,-0.01315833,0.3078474
3.273339271,0.9338179,-0.1726778,-0.01280503,0.3076204
3.295674801,0.9339244,-0.1725153,-0.01253799,0.3073988
3.315528393,0.9339786,-0.1724491,-0.01252921,0.3072719
3.335381985,0.9339925,-0.1724361,-0.01268668,0.3072303
3.355235576,0.9339569,-0.1725148,-0.01295315,0.3072832
3.375088692,0.933894,-0.1726278,-0.01330053,0.3073962
3.394942283,0.9337996,-0.1727932,-0.01369588,0.3075726
3.414795875,0.933707,-0.1729581,-0.014079,0.3077436
3.434648990,0.9336718,-0.1731259,-0.01447839,0.3077375
3.454503059,0.9336436,-0.1732911,-0.01488015,0.307711
3.474356174,0.9335927,-0.173469,-0.01520966,0.3077491
3.494210243,0.9335583,-0.1735889,-0.01547616,0.3077724
3.514063358,0.93354,-0.1736773,-0.01569848,0.3077669
3.533916473,0.9335127,-0.1737537,-0.01581698,0.3078009
3.553770542,0.9335318,-0.1737494,-0.01587681,0.307742
3.573623657,0.9335715,-0.173742,-0.01593322,0.3076227
3.593477726,0.9336089,-0.1737521,-0.01606096,0.3074969
3.613330841,0.933629,-0.1737834,-0.0162027,0.3074107
3.635665893,0.9336545,-0.1738329,-0.01634403,0.3072976
3.655519962,0.9336767,-0.1738827,-0.01646952,0.3071958
3.675373077,0.9336925,-0.1739607,-0.01660341,0.3070959
3.695226192,0.9337059,-0.1740424,-0.01678862,0.3069992
3.715080261,0.9337013,-0.1741281,-0.01699186,0.3069533
3.734933376,0.9336998,-0.1742038,-0.01719793,0.3069033
3.754787445,0.9336727,-0.1742999,-0.01742455,0.3069182
3.774640560,0.9336401,-0.1744009,-0.01766069,0.3069468
3.794493675,0.9336141,-0.1744691,-0.0178665,0.3069752
3.814347744,0.9335731,-0.1745498,-0.01803466,0.3070441
3.834200859,0.9334723,-0.174627,-0.01809059,0.3073029
3.854054928,0.9333913,-0.1746687,-0.01806135,0.3075271
3.873908043,0.933329,-0.1746951,-0.01800327,0.3077047
3.893762112,0.9332697,-0.174706,-0.01795201,0.3078813
3.913615227,0.9332111,-0.1746983,-0.01787314,0.3080677
3.933468819,0.9331701,-0.1746803,-0.01776078,0.3082089
3.953322411,0.9331332,-0.1746446,-0.01760206,0.3083494
3.975657463,0.9331058,-0.1745883,-0.0174062,0.3084759
3.995511532,0.9330866,-0.1745325,-0.01717956,0.3085783
4.015369415,0.9330826,-0.1744501,-0.01693737,0.3086502
4.035217762,0.9330929,-0.1743936,-0.01666271,0.3086657
4.055071831,0.9331095,-0.1743076,-0.01633655,0.3086815
4.074924946,0.9331264,-0.1741934,-0.01596941,0.308714
4.094779014,0.9331366,-0.1740689,-0.01560894,0.3087718
4.114632129,0.9331231,-0.1739539,-0.01522923,0.3088967
4.134485721,0.9330866,-0.173844,-0.01477505,0.3090908
4.154339313,0.9330623,-0.1736754,-0.01426463,0.3092827
4.174192428,0.9330935,-0.1734851,-0.01374373,0.3093191
4.194046020,0.933124,-0.1733168,-0.01315949,0.3093465
4.213899612,0.9331771,-0.1730949,-0.01248967,0.309339
4.233753204,0.9332297,-0.1728598,-0.0117899,0.3093386
4.253606796,0.9332978,-0.172588,-0.01102912,0.3093129
4.273460388,0.9332794,-0.1723261,-0.01019807,0.3095431
4.293313503,0.9332355,-0.1720499,-0.009343752,0.3098558
