Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
0.292838573,-0.1638844,-3.110702,0.08699975,-0.1986991,0.3228637,0.949148,25.22858,-0.9666015,-41.30734,1028.927
0.295319557,-0.3486967,-3.289063,0.02599015,-0.2055382,0.3165304,0.9447818,25.23186,-1.715938,-41.30029,1028.927
0.297801494,-0.3486967,-3.586333,-0.1570387,-0.2045543,0.3150968,0.9495692,25.23186,-1.715938,-41.30029,1028.927
0.300282955,-0.2870926,-3.407971,-0.1570387,-0.203572,0.3195193,0.9572845,25.23186,-1.715938,-41.30029,1028.927
0.302766800,0.02092784,-3.467425,-0.09602907,-0.2069992,0.3190017,0.9505631,25.23186,-1.715938,-41.30029,1028.927
0.305251121,0.144136,-3.705241,0.1480094,-0.2045707,0.3203889,0.9395325,25.23186,-1.715938,-41.30029,1028.927
0.307728290,-0.1022803,-3.764695,0.1480094,-0.2001701,0.3218628,0.943861,25.23186,-1.715938,-41.30029,1028.927
0.310210228,-0.3486967,-3.705241,0.08699975,-0.2045682,0.3213793,0.9424206,25.23186,-1.715938,-41.30029,1028.927
0.312691688,-0.3486967,-3.883603,0.1480094,-0.2069939,0.3180515,0.9543954,25.23186,-1.715938,-41.30029,1028.927
0.315173626,-0.2870926,-3.764695,0.1480094,-0.2045455,0.3126982,0.9553095,25.23186,-1.715938,-41.30029,1028.927
0.317655086,0.02092784,-3.943057,0.08699975,-0.205538,0.3194643,0.9472058,25.23186,-1.715938,-41.30029,1028.927
0.320137024,-0.04067625,-3.943057,0.3310382,-0.2001692,0.3267545,0.948221,25.23186,-1.715938,-41.30029,1028.927
0.322618008,-0.2870926,-3.943057,0.1480094,-0.1967503,0.3257636,0.9467701,25.23186,-1.715938,-41.30029,1028.927
0.325099945,-0.4103008,-3.943057,-0.09602907,-0.2001691,0.3233341,0.945793,25.23186,-1.715938,-41.30029,1028.927
0.327581405,-0.3486967,-4.061965,0.02599015,-0.1967406,0.3145722,0.9466785,25.23186,-1.715938,-41.30029,1028.927
0.330063343,-0.1022803,-4.180872,0.02599015,-0.2011324,0.3165646,0.9524583,25.23186,-1.715938,-41.30029,1028.927
0.332544803,-0.04067625,-4.29978,0.209019,-0.2016308,0.3194482,0.9462425,25.23186,-1.715938,-41.30029,1028.927
0.335026741,-0.2254885,-4.29978,0.2700286,-0.2026164,0.3208732,0.940015,25.23186,-1.715938,-41.30029,1028.927
0.337508201,-0.3486967,-4.418688,0.3310382,-0.199682,0.326258,0.9467765,25.23186,-1.715938,-41.30029,1028.927
0.339990139,-0.2870926,-4.478142,0.4530574,-0.1962503,0.3228887,0.9544261,25.23186,-1.715938,-41.30029,1028.927
0.342472076,-0.2870926,-4.418688,0.5140669,-0.2001563,0.3131359,0.9490696,25.23186,-1.715938,-41.30029,1028.927
0.344953537,-0.2254885,-4.478142,0.5750765,-0.2006439,0.3165633,0.9524579,24.48427,-0.5822827,-40.90713,1028.927
0.347435474,-0.2254885,-4.656504,0.5750765,-0.1957693,0.3179613,0.9443055,24.48427,-0.5822827,-40.90713,1028.927
0.349916458,-0.2254885,-4.537596,0.4530574,-0.1947908,0.3208983,0.9476888,24.48427,-0.5822827,-40.90713,1028.927
0.352398872,-0.2254885,-4.656504,0.4530574,-0.1938116,0.3282375,0.9549478,24.48427,-0.5822827,-40.90713,1028.927
0.354879856,-0.2254885,-4.834865,0.4530574,-0.1947866,0.3199424,0.9505609,24.48427,-0.5822827,-40.90713,1028.927
0.357361793,-0.4103008,-4.715958,0.4530574,-0.1942849,0.3131661,0.956745,24.48427,-0.5822827,-40.90713,1028.926
0.359843254,-0.2254885,-4.775411,0.3920478,-0.1908664,0.3185267,0.959666,24.48427,-0.5822827,-40.90713,1028.926
0.362325191,-0.1022803,-4.656504,0.4530574,-0.1889342,0.3257399,0.9462836,24.48427,-0.5822827,-40.90713,1028.926
0.364806652,-0.1022803,-4.834865,0.5140669,-0.1913793,0.3252455,0.9438815,24.48427,-0.5822827,-40.90713,1028.926
