Time (s),X (g),Y (g),Z (g)
29.085682392,0.02991908,0.07483196,0.04093536
29.088164329,0.07017241,0.04348275,-0.04860862
29.093127727,0.01410592,0.03155295,-0.02816409
29.095609665,0.02268991,0.05949321,0.0836377
29.098091602,0.01293984,0.03408014,-0.01367669
29.100573063,0.04726239,0.06304576,0.0267825
29.103055000,0.05451682,0.08171683,0.02594885
29.105536938,0.04153489,0.04095554,0.01505473
29.108018398,0.02075945,0.06416779,-0.006574692
29.110500335,0.04896265,0.07823003,-0.01300709
29.112982273,0.04038584,0.07991501,-0.03307211
29.115463733,0.02681194,0.06721299,0.001176806
29.117945671,0.08344806,0.06295402,0.008284865
29.120427131,0.02562632,0.09495529,0.0354894
29.122909069,0.07533903,0.03623784,-0.04655523
29.125391006,0.04493719,0.118156,0.03533922
29.127872467,0.09433132,0.0428989,-0.05919521
29.130354404,0.0292881,0.08594093,-0.002605013
29.132836342,0.1134552,0.04515971,-0.04370337
29.135317802,0.03797281,0.063054,0.016172
29.137799740,0.04536515,0.04030738,-0.010703
29.140280723,0.07104675,0.06177166,-0.009669682
29.142762661,0.05535384,0.07375351,0.02055707
29.145245075,0.04933555,0.02595093,-0.06850135
29.147726059,0.0603693,0.09435982,0.02384827
29.150207996,0.1010901,0.04575469,-0.01764447
29.152689934,-0.002365881,0.04774158,0.02463273
29.155171394,0.05504298,0.03812928,-0.01258784
29.157653332,0.05779039,0.08102959,0.01183421
29.160135269,0.04614728,0.04435677,-0.005429226
29.162616730,0.04404321,0.02510089,-0.02564972
29.165098667,0.03443329,0.06718727,0.003606997
29.167580128,0.06911323,0.0402948,-0.04695654
29.170062065,0.009933717,0.04446566,-0.01663032
29.172544002,0.04909797,0.006896647,-0.005042473
29.175025463,0.01621411,0.03136227,0.02179933
29.177507400,0.04132079,0.04525942,0.02379883
29.179989338,0.04942035,0.02943701,0.01121766
29.182470798,0.02031269,0.04169002,0.02543001
29.184952736,0.02544396,0.02632215,-0.01633338
29.187436104,0.0431335,0.03152833,-0.01626381
29.189920425,0.002012512,0.01532473,0.0173833
29.192398071,0.001746469,-0.04099403,0.01670522
29.194880009,-0.02782578,0.01410597,0.01157087
29.197360992,0.06577937,0.01692891,-0.03022581
29.199843406,0.00303704,0.02550181,-0.03600403
29.202324390,0.02146081,-0.01585358,-0.07938093
29.204806328,0.03170383,0.05352126,0.01084355
29.207288265,0.02722408,-0.019852,-0.03471709
29.209769726,0.008668681,0.01175859,-0.003826137
29.212251663,0.04685809,0.05366763,-0.01056739
29.214733600,0.04952704,0.009639191,-0.008503472
29.217215061,-0.01391422,-0.003534286,-0.002044764
29.219696998,0.05015622,0.003662053,-0.06441227
29.222178936,0.04238032,0.04882541,0.02014107
29.224660396,0.04411197,-0.009955643,-0.02285445
29.227142334,0.02813493,0.0290039,-0.001236029
29.229623794,0.07872604,0.03085294,0.01128749
29.232105732,0.04584553,0.05603993,0.06579158
29.234587669,0.04951312,0.006918722,-0.01187835
29.237069130,0.02250295,0.05836833,-0.002090778
29.239551067,0.04148328,0.04205913,-0.03741926
29.242033005,0.03101612,0.04186595,-0.05101169
29.244514465,0.04429964,0.04565281,-0.04516078
29.246996403,0.07545786,0.02608859,-0.01873255
29.249477386,0.04300872,0.02469888,0.02269723
29.251959801,0.06514487,0.02222084,-0.01210015
29.254441738,0.05376079,0.05926434,0.04691035
29.256922722,-0.006617055,0.004466619,-0.01354979
29.259404659,0.02471713,0.04392778,0.04230575
29.261887073,0.056444,0.06018714,0.003065251
29.264368057,0.0282383,0.04200649,-0.0180757
29.266849994,0.03287782,0.04667389,0.0009669252
29.269331932,0.03508194,0.03692059,-0.007159514
29.271813392,0.01975853,0.02599431,0.02864322
29.274295330,0.01730593,0.04822304,0.01350006
29.276777267,0.02594343,0.05448156,0.0471893
29.279258728,0.009824522,0.04160667,-0.01146771
29.281740665,0.03707851,0.05867177,-0.01460983
29.284222126,0.03859158,0.03743039,-0.04719051
29.286707878,0.01149133,0.04202638,-0.03342633
29.289186001,0.04316167,0.04305367,-0.05734035
29.291667461,0.03494725,0.03011762,0.0001688097
29.294149399,0.02535791,-0.03051549,-0.03161933
29.296631336,0.00336718,0.02407731,0.05644047
29.299112797,0.02400696,-0.01585941,0.03652094
29.301594734,0.008747863,0.001251385,0.03639366
29.304076671,0.04801423,0.03753841,0.03808548
29.306558132,0.04690416,0.02576338,-0.005834861
29.309040069,0.0289956,0.04153352,-0.02975695
29.311521053,0.04793748,0.05194119,-0.04999809
29.314002991,0.007843305,-0.003383488,0.02181104
29.316485405,-0.01023504,-0.02160292,0.01112252
29.318966389,0.05599897,0.06272887,-0.001409143
29.321448326,0.03424145,0.03223158,-0.01901787
29.323930263,0.00306383,-0.02251071,-0.04540887
29.326411724,0.03663747,0.04092155,-0.02737221
29.328893661,0.0503699,0.03067942,-0.02965737
29.331375599,-0.005098854,0.01600404,0.009325058
29.333857059,0.03112252,0.0292868,-0.03939636
29.336338997,0.04761344,0.08731405,0.06113822
29.338825703,0.01070898,-0.008012459,0.01050939
29.341302395,0.003491152,0.08151728,0.009520188
29.343784332,0.07733716,0.09475392,-0.02453474
29.346265793,0.01795899,0.03508769,-0.01257525
29.348747730,0.05214857,0.04435004,-0.0451763
29.351229668,0.08347777,0.1233515,0.009350978
29.353711128,0.03342065,-0.004579093,0.01775431
